                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5436,                 2.9557,                 3.2244,                0.85308,                0.73805,                0.78481,                 0.3496,                 1.8509,                 1.6578,                 2.4477,              0.0033308,              0.0033308,              0.0033308
                      1,                  1.605,                 1.2646,                 2.0298,                 0.9237,                0.79174,                0.85757,                0.48362,                 1.4965,                 1.1518,                 2.0036,              0.0065322,              0.0065322,              0.0065322
                      2,                 1.4734,                  1.046,                 1.8618,                0.93113,                0.85413,                0.91585,                0.53798,                 1.4455,                0.95886,                 1.8915,              0.0096016,              0.0096016,              0.0096016
                      3,                 1.4005,                0.95013,                 1.7911,                0.93655,                0.87921,                0.93183,                0.54224,                 1.4877,                0.84019,                 1.9209,               0.009406,               0.009406,               0.009406
                      4,                 1.3464,                0.86663,                 1.7314,                0.94291,                0.89089,                0.93693,                0.55998,                 1.4053,                0.75316,                 1.8326,               0.009406,               0.009406,               0.009406
                      5,                  1.305,                0.81643,                 1.6832,                0.95427,                0.89869,                0.94542,                0.56974,                 1.3938,                 0.7152,                 1.8028,               0.009208,               0.009208,               0.009208
                      6,                 1.2779,                0.77958,                 1.6563,                 0.9595,                0.91113,                0.95025,                 0.6111,                 1.3005,                0.65022,                 1.7411,                0.00901,                0.00901,                0.00901
                      7,                 1.2636,                0.75466,                 1.6477,                0.96558,                0.90795,                0.95396,                0.59121,                 1.3698,                0.65524,                 1.7709,               0.008812,               0.008812,               0.008812
                      8,                 1.2431,                0.73016,                 1.6265,                0.96788,                0.91879,                0.96368,                 0.6202,                 1.2897,                   0.59,                 1.7082,               0.008614,               0.008614,               0.008614
                      9,                  1.228,                0.71251,                 1.6057,                0.96548,                0.91839,                0.96074,                0.63129,                 1.2644,                0.58675,                 1.6793,               0.008416,               0.008416,               0.008416
                     10,                 1.2141,                0.68859,                 1.5965,                0.96839,                0.91963,                0.96116,                0.60722,                 1.3308,                0.58604,                 1.7258,               0.008218,               0.008218,               0.008218
                     11,                  1.201,                0.66999,                 1.5895,                0.96499,                0.92683,                0.96514,                0.62804,                 1.2977,                0.54618,                 1.7064,                0.00802,                0.00802,                0.00802
                     12,                 1.1984,                0.65767,                 1.5873,                0.96741,                0.92871,                0.96525,                0.62796,                 1.2849,                0.54209,                 1.6918,               0.007822,               0.007822,               0.007822
                     13,                 1.1921,                0.64402,                 1.5757,                0.97198,                0.92758,                0.96749,                 0.6291,                 1.2759,                0.53363,                 1.6942,               0.007624,               0.007624,               0.007624
                     14,                 1.1853,                0.63359,                 1.5699,                0.97093,                 0.9273,                0.97037,                0.63709,                 1.2626,                0.51973,                 1.6674,               0.007426,               0.007426,               0.007426
                     15,                 1.1731,                0.62952,                   1.56,                0.97494,                0.92824,                 0.9681,                0.63924,                 1.2543,                 0.5145,                 1.6679,               0.007228,               0.007228,               0.007228
                     16,                 1.1637,                0.61649,                 1.5547,                0.97303,                0.93057,                0.97017,                 0.6407,                 1.2529,                0.51102,                 1.6707,                0.00703,                0.00703,                0.00703
                     17,                 1.1595,                0.60843,                 1.5487,                0.97662,                0.93386,                0.96997,                0.65244,                 1.2273,                0.49158,                 1.6533,               0.006832,               0.006832,               0.006832
                     18,                 1.1534,                0.60091,                 1.5437,                0.96538,                 0.9418,                0.97184,                0.66395,                 1.1983,                0.47948,                  1.631,               0.006634,               0.006634,               0.006634
                     19,                 1.1529,                0.59343,                 1.5409,                0.97363,                 0.9348,                0.97487,                0.65251,                 1.2256,                0.48631,                 1.6411,               0.006436,               0.006436,               0.006436
                     20,                 1.1409,                0.58446,                 1.5286,                0.96951,                0.93976,                0.97349,                0.65794,                 1.2099,                0.47461,                 1.6193,               0.006238,               0.006238,               0.006238
                     21,                 1.1308,                0.57622,                 1.5229,                0.96924,                0.94418,                0.97293,                0.65818,                  1.204,                0.47033,                 1.6305,                0.00604,                0.00604,                0.00604
                     22,                  1.134,                0.57162,                 1.5221,                0.96327,                0.94717,                0.97433,                0.66171,                 1.2055,                0.46521,                 1.6286,               0.005842,               0.005842,               0.005842
                     23,                  1.128,                  0.572,                 1.5188,                0.96834,                0.94697,                0.97432,                0.66115,                  1.209,                0.46055,                 1.6301,               0.005644,               0.005644,               0.005644
                     24,                 1.1168,                0.56213,                 1.5122,                0.97154,                0.94457,                0.97363,                0.66369,                 1.1984,                0.44969,                 1.6281,               0.005446,               0.005446,               0.005446
                     25,                 1.1129,                 0.5546,                 1.5051,                0.97009,                0.94794,                0.97651,                0.66764,                 1.1889,                0.45156,                 1.6189,               0.005248,               0.005248,               0.005248
                     26,                 1.1066,                0.54859,                 1.4944,                 0.9709,                0.94418,                0.97665,                0.66953,                 1.1859,                0.44697,                 1.6157,                0.00505,                0.00505,                0.00505
                     27,                 1.1081,                0.54895,                 1.4995,                0.96709,                0.95113,                0.97444,                0.67036,                 1.1798,                0.44233,                 1.6126,               0.004852,               0.004852,               0.004852
                     28,                 1.0973,                 0.5381,                 1.4893,                0.97668,                0.94305,                0.97544,                0.67133,                   1.18,                0.43663,                 1.6133,               0.004654,               0.004654,               0.004654
                     29,                 1.0915,                0.53292,                 1.4862,                0.97205,                0.94626,                0.97801,                0.67051,                  1.179,                0.43593,                 1.6078,               0.004456,               0.004456,               0.004456
                     30,                 1.0909,                0.52997,                 1.4816,                0.97564,                0.94278,                0.97859,                0.67578,                   1.17,                   0.43,                 1.6034,               0.004258,               0.004258,               0.004258
                     31,                 1.0853,                0.52595,                 1.4839,                0.97276,                0.94606,                0.97975,                0.67873,                 1.1623,                0.42832,                 1.5926,                0.00406,                0.00406,                0.00406
                     32,                 1.0783,                0.52223,                 1.4738,                0.97588,                0.94879,                0.98005,                0.67855,                 1.1608,                0.42608,                 1.5911,               0.003862,               0.003862,               0.003862
                     33,                 1.0718,                 0.5155,                 1.4708,                0.97493,                0.95028,                0.97968,                0.67967,                 1.1614,                0.42426,                 1.5924,               0.003664,               0.003664,               0.003664
                     34,                 1.0703,                0.51418,                 1.4693,                0.97411,                0.95263,                 0.9785,                0.67943,                 1.1621,                0.42184,                 1.5945,               0.003466,               0.003466,               0.003466
                     35,                 1.0653,                0.50706,                 1.4604,                0.97642,                0.95184,                0.97862,                0.68119,                 1.1614,                0.41868,                 1.5959,               0.003268,               0.003268,               0.003268
                     36,                 1.0619,                0.50546,                 1.4554,                0.98055,                0.94934,                 0.9796,                0.68082,                 1.1567,                0.41663,                 1.5879,                0.00307,                0.00307,                0.00307
                     37,                  1.055,                0.49659,                 1.4537,                0.97693,                 0.9532,                0.97988,                0.68204,                 1.1522,                0.41322,                 1.5866,               0.002872,               0.002872,               0.002872
                     38,                 1.0517,                0.49171,                 1.4518,                0.97704,                0.95356,                0.98025,                0.68157,                  1.148,                0.41314,                 1.5845,               0.002674,               0.002674,               0.002674
                     39,                  1.045,                0.49146,                 1.4376,                0.97687,                 0.9545,                0.98025,                0.67989,                 1.1481,                0.41316,                 1.5825,               0.002476,               0.002476,               0.002476
                     40,                 1.0406,                0.48561,                  1.449,                0.97791,                0.95515,                0.98048,                0.68184,                 1.1457,                0.41176,                 1.5806,               0.002278,               0.002278,               0.002278
